,elements,counts,charges,total_charge,formula
131,"['O', 'La', 'C', 'C', 'H']","[6, 1, 3, 3, 9]","[-2.0, 3.0, 4.0, -4.0, 1]",0,LaH9(CO)6
132,"['Ca', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Ca(NO3)2
133,"['Re', 'Cl']","[1, 5]","[5, -1]",0,ReCl5
134,"['Sb', 'O']","[2, 3]","[3, -2]",0,Sb2O3
135,['Ho'],[1],[0],0,Ho
136,"['Ag', 'O']","[2, 1]","[1, -2]",0,Ag2O
137,"['Li', 'P', 'O']","[940126422213591/562949953421312, 1, 1874623344892969/562949953421312]","[1, 5, -2]",5629499534213/562949953421312,Li1.67PO3.33
138,"['Hg', 'Cl']","[1, 1]","[1, -1]",0,HgCl
139,"['Zn', 'N']","[3, 2]","[2, -3]",0,Zn3N2
140,"['Co', 'S']","[1, 1]","[2.0, -2.0]",0,CoS
141,"['La', 'C', 'O']","[1, 3, 6]","[3, 3, -2]",0,La(CO2)3
142,"['Bi', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,Bi(HO)3
143,"['In', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,In(NO3)3
144,"['Cs', 'Se']","[2, 1]","[1, -2]",0,Cs2Se
145,"['O', 'Tb', 'Tb']","[7, 2, 2]","[-2.0, 3.0, 4.0]",0,Tb4O7
146,"['Ce', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Ce(NO3)3
147,"['Pb', 'Br', 'O']","[3, 2, 2]","[2, -1, -2]",0,Pb3(BrO)2
148,"['O', 'Mn', 'H']","[3, 1, 3]","[-2.0, 3.0, 1]",0,Mn(HO)3
149,"['Na', 'O', 'C']","[1, 3, 1]","[1, -2.0, 0.0]",-5,NaCO3
150,"['Cu', 'O']","[1, 1]","[2, -2]",0,CuO
151,"['Pb', 'Br']","[1, 2]","[2, -1]",0,PbBr2
152,"['Al', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Al(NO3)3
153,"['O', 'Pr']","[13, 4]","[-2.0, 0.0]",-26,Pr4O13
154,"['Al', 'O', 'H']","[1, 2, 1]","[3, -2, 1]",0,AlHO2
155,"['O', 'Mn', 'C', 'C', 'H']","[8, 1, 2, 2, 14]","[-2.0, 2.0, 4.0, -4.0, 1]",0,Mn(CH3COO)2.4H2O
156,"['Sc', 'O']","[2, 3]","[3, -2]",0,Sc2O3
157,"['O', 'Mn', 'C']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,MnCO3
158,['Li'],[1],[0],0,Li
159,"['Sn', 'I']","[1, 4]","[4, -1]",0,SnI4
160,"['O', 'H', 'B']","[3, 2, 1]","[-2.0, 0.0, 0.0]",-6,BH2O3
161,"['As', 'O', 'H']","[1, 4, 3]","[5, -2, 1]",0,AsH3O4
162,"['Sb', 'S']","[2, 3]","[3.0, -2.0]",0,Sb2S3
163,"['Zr', 'N', 'O']","[1, 2, 7]","[4, 5, -2]",0,ZrN2O7
164,"['Ni', 'S']","[1, 1]","[2.0, -2.0]",0,NiS
165,"['Li', 'Se', 'P', 'S']","[8, 5, 2, 4]","[1, -2.0, 5.0, -2.0]",0,Li8P2Se5S4
166,"['Mn', 'F']","[1, 2]","[2, -1]",0,MnF2
167,['As'],[1],[0],0,As
168,"['Ti', 'H', 'H']","[1, 1, 3]","[2.0, 1, -1]",0,TiH4
169,"['Cu', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Cu(NO3)3
170,['B'],[1],[0],0,B
171,"['Sr', 'S']","[1, 1]","[2, -2]",0,SrS
172,"['O', 'H', 'B']","[4, 3, 1]","[-2.0, 0.0, 0.0]",-8,BH3O4
