,elements,counts,charges,total_charge,formula
658,"['V', 'S']","[2, 3]","[3, -2]",0,V2S3
659,"['Cu', 'Br']","[1, 1]","[1, -1]",0,CuBr
660,"['Mo', 'Mo', 'S']","[1, 2, 4]","[2.0, 3.0, -2.0]",0,Mo3S4
661,"['Ni', 'O']","[1, 1]","[2, -2]",0,NiO
662,"['Fe', 'O', 'H']","[1, 2, 1]","[3, -2, 1]",0,FeHO2
663,"['Cr', 'O']","[2, 3]","[3, -2]",0,Cr2O3
664,"['Fe', 'C', 'O']","[1, 2, 4]","[2, 3, -2]",0,Fe(CO2)2
665,"['Mn', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Mn(NO3)2
666,"['Li', 'H']","[1, 1]","[1, -1]",0,LiH
667,"['V', 'O']","[2, 1]","[1, -2]",0,V2O
668,"['Ag', 'F']","[1, 1]","[1, -1]",0,AgF
669,"['Zr', 'O']","[1, 1]","[2, -2]",0,ZrO
670,"['Li', 'F']","[1, 1]","[1, -1]",0,LiF
671,"['Pr', 'F']","[1, 3]","[3, -1]",0,PrF3
672,"['Cr', 'O']","[1, 2]","[4, -2]",0,CrO2
673,"['Ni', 'C', 'C', 'C', 'O', 'H']","[1, 1, 1, 2, 4, 8]","[2.0, 2.0, 4.0, -4.0, -2.0, 1]",0,NiH8(CO)4
674,"['Ba', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Ba(HO)2
675,"['O', 'Pb', 'P']","[7, 2, 2]","[-2.0, 2.0, 5.0]",0,P2Pb2O7
676,"['Be', 'O']","[1, 1]","[2, -2]",0,BeO
677,"['C', 'O', 'H']","[6, 7, 8]","[1, -2, 1]",0,H8C6O7
678,"['Co', 'Se']","[1, 1]","[2, -2]",0,CoSe
679,"['O', 'Al', 'C', 'C', 'H']","[3, 1, 1, 2, 7]","[-2.0, 3.0, 4.0, -4.0, 1]",0,AlH7(CO)3
680,"['H', 'O', 'Ni', 'C']","[4, 7, 3, 1]","[1, -2.0, 2.0, 4.0]",0,Ni3H4CO7
681,"['Te', 'O', 'H']","[1, 6, 6]","[6, -2, 1]",0,Te(HO)6
682,"['Hf', 'O']","[1, 2]","[4, -2]",0,HfO2
683,"['K', 'S', 'S']","[2, 1, 2]","[1, 2.0, -2.0]",0,K2S3
684,"['As', 'Se']","[2, 3]","[3.0, -2.0]",0,As2Se3
685,"['Rb', 'S', 'O']","[2, 1, 4]","[1, 6, -2]",0,Rb2SO4
686,"['Ce', 'P', 'O']","[1, 3, 9]","[3, 5, -2]",0,Ce(PO3)3
687,"['Tl', 'Se']","[1, 1]","[1, -1]",0,TlSe
688,"['Cl', 'Sb']","[3, 1]","[-1, 3]",0,SbCl3
689,"['Zn', 'S', 'O']","[1, 1, 4]","[2, 6, -2]",0,ZnSO4
690,"['Pb', 'F']","[1, 2]","[2, -1]",0,PbF2
691,"['Ti', 'C', 'O', 'H']","[3, 24, 28, 20]","[4, 1, -2, 1]",0,Ti3H20(C6O7)4
692,"['Al', 'S']","[2, 3]","[3, -2]",0,Al2S3
693,"['U', 'N', 'O']","[1, 2, 8]","[6, 5, -2]",0,U(NO4)2
694,"['Se', 'P']","[5, 2]","[-2, 5]",0,P2Se5
695,['Sc'],[1],[0],0,Sc
696,"['Hg', 'I']","[1, 1]","[1, -1]",0,HgI
697,"['Cd', 'Se']","[1, 1]","[2, -2]",0,CdSe
698,['Rb'],[1],[0],0,Rb
699,"['Bi', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Bi(NO3)3
700,"['Ce', 'N', 'O']","[1, 4, 12]","[4, 5, -2]",0,Ce(NO3)4
701,"['Rh', 'O']","[1, 2]","[4, -2]",0,RhO2
702,"['Co', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Co(NO3)2
703,"['Si', 'O', 'H']","[1, 3, 2]","[4, -2, 1]",0,SiH2O3
704,"['Y', 'F']","[1, 3]","[3, -1]",0,YF3
705,"['O', 'Ge']","[4, 1]","[-2.0, 0.0]",-8,GeO4
706,"['Cl', 'Te']","[4, 1]","[-1, 4]",0,TeCl4
707,"['Mo', 'N', 'O', 'H']","[1, 2, 4, 8]","[6, -3, -2, 1]",0,MoH8(NO2)2
708,"['Fe', 'P']","[2, 1]","[0.0, 0.0]",0,Fe2P
709,"['Ti', 'O']","[1, 2]","[4, -2]",0,TiO2
710,"['Fe', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Fe3(PO4)2
711,"['Sr', 'N', 'C']","[1, 2, 1]","[2, -3, 4]",0,SrCN2
712,"['Cu', 'Se']","[2, 1]","[1, -2]",0,Cu2Se
713,"['F', 'Ti']","[3, 1]","[-1, 3.0]",0,TiF3
714,"['Na', 'Br']","[1, 1]","[1, -1]",0,NaBr
715,"['C', 'O', 'H']","[1, 2, 1]","[3, -2, 1]",0,HCO2
716,"['Co', 'Co', 'P']","[1, 1, 1]","[1, 2.0, -3.0]",0,Co2P
717,"['Mg', 'C', 'O']","[1, 2, 4]","[2, 3, -2]",0,Mg(CO2)2
718,"['Ba', 'S', 'O']","[1, 1, 4]","[2, 6, -2]",0,BaSO4
719,"['Gd', 'Cl']","[1, 3]","[3, -1]",0,GdCl3
720,"['Fe', 'P', 'O']","[1, 2, 6]","[2, 5, -2]",0,Fe(PO3)2
721,"['Ta', 'S']","[1, 2]","[4.0, -2.0]",0,TaS2
722,"['O', 'Ni', 'N', 'H']","[79, 1, 26, 2]","[-2.0, 0.0, 0.0, 0.0]",-158,NiH2N26O79
723,"['Al', 'C', 'O']","[2, 3, 9]","[3, 4, -2]",0,Al2(CO3)3
724,"['Ca', 'P', 'O', 'H']","[1, 1, 4, 1]","[2, 5, -2, 1]",0,CaPHO4
725,"['Sr', 'P', 'O']","[2, 2, 7]","[2, 5, -2]",0,Sr2P2O7
726,"['O', 'Tb']","[7, 2]","[-2.0, 0.0]",-14,Tb2O7
727,"['Rh', 'O']","[2, 3]","[3, -2]",0,Rh2O3
728,"['Li', 'P', 'O']","[1, 1, 3]","[1, 5, -2]",0,LiPO3
729,"['Mn', 'S']","[1, 1]","[2, -2]",0,MnS
730,"['Hg', 'Br']","[1, 1]","[1, -1]",0,HgBr
731,"['Al', 'P', 'O']","[1, 1, 4]","[3, 5, -2]",0,AlPO4
732,"['In', 'O']","[2, 3]","[3, -2]",0,In2O3
733,['Se'],[1],[0],0,Se
734,"['Nb', 'C', 'O', 'H']","[1, 10, 20, 5]","[5, 3, -2, 1]",0,NbH5(CO2)10
735,"['Hg', 'O']","[1, 1]","[2, -2]",0,HgO
736,"['Ga', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Ga(NO3)3
737,"['Cr', 'Cl']","[1, 3]","[3, -1]",0,CrCl3
738,"['O', 'Pb', 'Pb']","[4, 2, 1]","[-2.0, 2.0, 4.0]",0,Pb3O4
739,"['Zr', 'F']","[1, 4]","[4, -1]",0,ZrF4
740,"['Zn', 'Se']","[1, 1]","[2, -2]",0,ZnSe
741,"['Ag', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,Ag2CO3
742,"['Fe', 'C', 'O', 'H']","[1, 6, 7, 5]","[3, 1, -2, 1]",0,FeH5C6O7
743,"['O', 'Co', 'C', 'C']","[4, 1, 1, 1]","[-2.0, 2.0, 2.0, 4.0]",0,Co(CO2)2
744,"['Cu', 'O']","[2, 1]","[1, -2]",0,Cu2O
745,['Hg'],[1],[0],0,Hg
746,"['Sr', 'F']","[1, 2]","[2, -1]",0,SrF2
747,"['La', 'S', 'O']","[2, 1, 2]","[3, -2, -2]",0,La2SO2
748,"['Eu', 'Se']","[1, 1]","[2, -2]",0,EuSe
749,"['Co', 'C', 'O']","[2, 3, 9]","[3, 4, -2]",0,Co2(CO3)3
750,"['Sm', 'Cl']","[1, 3]","[3, -1]",0,SmCl3
751,"['Cu', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Cu3(PO4)2
752,"['Pu', 'P', 'O']","[1, 1, 4]","[5, 3, -2]",0,PuPO4
753,"['Sn', 'O']","[1, 2]","[4, -2]",0,SnO2
754,"['Cl', 'H']","[1, 1]","[-1, 1]",0,HCl
755,"['Fe', 'P']","[1, 1]","[3, -3]",0,FeP
756,['Ni'],[1],[0],0,Ni
757,"['Ba', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Ba(NO3)2
758,"['O', 'Co', 'C', 'C', 'C', 'H']","[6, 1, 3, 2, 1, 9]","[-2.0, 2.0, 4.0, -4.0, -3.0, 1]",0,CoH9(CO)6
759,"['Ba', 'N']","[3, 2]","[2, -3]",0,Ba3N2
760,"['Sn', 'F']","[1, 2]","[2, -1]",0,SnF2
761,"['Rb', 'O']","[2, 1]","[1, -2]",0,Rb2O
762,"['Y', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Y(NO3)3
763,"['O', 'Zn', 'N', 'H']","[79, 1, 26, 2]","[-2.0, 1.0, 0.0, 0.0]",-158,ZnH2N26O79
764,"['Li', 'O', 'C', 'C', 'H']","[1, 2, 1, 1, 3]","[1, -2.0, 4.0, -4.0, 1]",0,LiH3(CO)2
765,"['Nb', 'Nb', 'O']","[1, 1, 3]","[2.0, 4.0, -2.0]",0,Nb2O3
766,"['H', 'O', 'N', 'Re']","[4, 4, 1, 1]","[1, -2.0, -3.0, 7.0]",0,ReH4NO4
767,"['Ca', 'P', 'O', 'H']","[1, 2, 8, 4]","[2, 5, -2, 1]",0,CaP2(HO2)4
768,"['Ga', 'P']","[1, 1]","[3, -3]",0,GaP
769,"['O', 'Sb']","[2, 1]","[-2.0, 0.0]",-4,SbO2
770,['Cd'],[1],[0],0,Cd
771,"['Cs', 'O']","[2, 1]","[1, -2]",0,Cs2O
772,"['Na', 'P']","[1, 1]","[1, -1]",0,NaP
773,"['Ru', 'O']","[1, 2]","[4, -2]",0,RuO2
774,"['Al', 'F']","[1, 3]","[3, -1]",0,AlF3
775,"['Rb', 'I']","[1, 1]","[1, -1]",0,RbI
776,"['Cs', 'H']","[1, 1]","[1, -1]",0,CsH
777,"['O', 'Ni', 'S']","[4, 1, 1]","[-2.0, 2.0, 6.0]",0,NiSO4
778,"['Fe', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Fe(NO3)3
779,"['Re', 'O']","[1, 3]","[6, -2]",0,ReO3
780,"['Cr', 'Cr', 'C']","[1, 2, 2]","[2.0, 3.0, -4.0]",0,Cr3C2
781,"['Ca', 'S']","[1, 1]","[2, -2]",0,CaS
782,"['Ca', 'F']","[1, 2]","[2, -1]",0,CaF2
783,"['O', 'Pb', 'S']","[4, 1, 1]","[-2.0, 2.0, 6.0]",0,PbSO4
784,"['Rb', 'P', 'O', 'H']","[1, 1, 4, 2]","[1, 5, -2, 1]",0,RbP(HO2)2
785,"['U', 'O']","[1, 3]","[6, -2]",0,UO3
786,"['Si', 'C']","[1, 1]","[4.0, -4.0]",0,SiC
787,"['V', 'Cl']","[1, 3]","[3, -1]",0,VCl3
788,"['Li', 'N', 'H']","[1, 1, 2]","[1, -3, 1]",0,LiH2N
789,"['Pb', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,P2Pb3O8
790,"['Ce', 'N']","[1, 1]","[3, -3]",0,CeN
791,"['Si', 'O', 'H']","[1, 4, 4]","[4, -2, 1]",0,Si(HO)4
792,['Mg'],[1],[0],0,Mg
793,"['O', 'U', 'C', 'C', 'H']","[6, 1, 2, 2, 6]","[-2.0, 6.0, 4.0, -4.0, 1]",0,UH6(C2O3)2
794,"['La', 'Cl']","[1, 3]","[3, -1]",0,LaCl3
795,"['Sr', 'C', 'O']","[1, 1, 3]","[2, 4, -2]",0,SrCO3
796,"['Ti', 'O', 'H']","[1, 3, 2]","[4, -2, 1]",0,TiH2O3
797,"['W', 'O']","[1, 2]","[4, -2]",0,WO2
